,2030,2060
1.Population_Grid,15526030.94308935,36158635.91350453
1.Population_SA_Diesel,0,0
1.Population_SA_PV,912152.6771165066,350707.45558658626
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,45176.53055677688,7405.378961170596
1.Population_MG_PV_Hybrid,7683243.143052659,1820610.1867048694
1.Population_MG_Wind_Hybrid,3702.539594514158,0
2.New_Connections_Grid,6805059.140121164,13548213.180583365
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,912152.6771165066,134430.47202411844
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,45176.53055677688,2826.823377251216
2.New_Connections_MG_PV_Hybrid,7683243.143052659,705368.6253630113
2.New_Connections_MG_Wind_Hybrid,3702.539594514158,0
3.Capacity_Grid,3360660.522015159,10132653.045723155
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,21099.92404711171,4672.234203524662
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,17831.05093568915,943.1644190072877
3.Capacity_MG_PV_Hybrid,5298638.945681211,286265.7743257671
3.Capacity_MG_Wind_Hybrid,964.2651477048184,0
4.Investment_Grid,7970393799.21605,21471864777.61393
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,137004667.70228365,30570245.486890495
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,50808446.90160656,3606072.2362394254
4.Investment_MG_PV_Hybrid,36526730890.38437,1810192491.0011718
4.Investment_MG_Wind_Hybrid,9752971.354395092,0
