,2030,2060
1.Population_Grid,15535061.024110606,36193447.931553245
1.Population_SA_Diesel,0,0
1.Population_SA_PV,911809.7037008011,351840.4389788394
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,45257.951992776,7000.471178240812
1.Population_MG_PV_Hybrid,7674474.614011111,1780724.114168065
1.Population_MG_Wind_Hybrid,3702.539594514158,4345.978878669148
2.New_Connections_Grid,6814089.22114243,13561792.20362131
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,911809.7037008011,134890.10105574338
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,45257.951992776,2667.5811161100046
2.New_Connections_MG_PV_Hybrid,7674474.614011111,689821.9035972493
2.New_Connections_MG_Wind_Hybrid,3702.539594514158,1667.3119573160636
3.Capacity_Grid,3360664.117226864,10110041.724987805
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,20721.82606098433,4592.668795284501
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,17859.211920734168,900.1621109956604
3.Capacity_MG_PV_Hybrid,5267706.696611647,270416.67650991277
3.Capacity_MG_Wind_Hybrid,1011.5794313500885,469.202966563157
4.Investment_Grid,7990168846.806188,21444273314.095478
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,135012670.60010594,30267277.430272996
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,50754389.702582605,3415721.452643907
4.Investment_MG_PV_Hybrid,36331859754.597275,1729446057.1419532
4.Investment_MG_Wind_Hybrid,8779881.759767106,3629075.11304491
