,2030,2060
1.Population_Grid,15470529.605996182,36261587.56572945
1.Population_SA_Diesel,0,0
1.Population_SA_PV,905719.122804758,715883.2050633924
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,44719.413367326204,6364.598565827005
1.Population_MG_PV_Hybrid,4605865.4039472835,1314924.2208537818
1.Population_MG_Wind_Hybrid,3470.698713561174,0
2.New_Connections_Grid,6749557.80302798,16182261.323757213
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,905719.122804758,493701.5973383195
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,44719.413367326204,2726.445564302894
2.New_Connections_MG_PV_Hybrid,4605865.4039472835,696601.9787255205
2.New_Connections_MG_Wind_Hybrid,3470.698713561174,0
3.Capacity_Grid,2481642.138951145,8846122.597524524
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,19886.84902797467,10699.621214787476
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,17322.32448393465,917.9230273221217
3.Capacity_MG_PV_Hybrid,2220099.811803585,292734.41140371823
3.Capacity_MG_Wind_Hybrid,842.8462364494555,0
4.Investment_Grid,6292159335.477826,21580716443.696274
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,131035538.77739674,79085531.90011492
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,49204468.840671524,3405201.6362628383
4.Investment_MG_PV_Hybrid,15184723563.987423,1780409505.473845
4.Investment_MG_Wind_Hybrid,7489115.042390593,0
