,2030,2060
1.Population_Grid,15440725.710209752,36296953.90438172
1.Population_SA_Diesel,0,0
1.Population_SA_PV,912152.6771165066,667565.0400352163
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,44952.833031922244,6743.346324257561
1.Population_MG_PV_Hybrid,4629008.847789625,1327737.6615715427
1.Population_MG_Wind_Hybrid,3470.698713561174,0
2.New_Connections_Grid,6719753.90724154,16221399.342792943
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,912152.6771165066,452823.7166070713
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,44952.833031922244,2890.691115393396
2.New_Connections_MG_PV_Hybrid,4629008.847789625,699136.434937928
2.New_Connections_MG_Wind_Hybrid,3470.698713561174,0
3.Capacity_Grid,2474913.9478333364,8967026.324774247
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,21099.92404711171,12088.310401160414
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,17411.894777634687,969.8749284340502
3.Capacity_MG_PV_Hybrid,2255057.216640239,298030.41152644553
3.Capacity_MG_Wind_Hybrid,804.4287262997577,0
4.Investment_Grid,6254355031.040335,21864851972.28242
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,137004667.70228365,81774294.86679152
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,49570330.34917056,3609348.070908594
4.Investment_MG_PV_Hybrid,15417675813.901005,1804731209.9432235
4.Investment_MG_Wind_Hybrid,8308660.106592639,0
