,2030,2060
1.Population_Grid,15449719.48561878,36311607.15560945
1.Population_SA_Diesel,0,0
1.Population_SA_PV,911809.7037008011,678465.720571421
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,45034.25446792136,6364.598565827005
1.Population_MG_PV_Hybrid,4620248.898643169,1302568.0640726981
1.Population_MG_Wind_Hybrid,3470.698713561174,0
2.New_Connections_Grid,6728747.682650587,16225645.057412231
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,911809.7037008011,463440.83401483455
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,45034.25446792136,2726.445564302894
2.New_Connections_MG_PV_Hybrid,4620248.898643169,684420.1606857602
2.New_Connections_MG_Wind_Hybrid,3470.698713561174,0
3.Capacity_Grid,2477425.5471551744,8918345.081514262
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,20721.82606098433,11480.87156712129
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,17440.199739216245,922.9260986115759
3.Capacity_MG_PV_Hybrid,2240079.2971962867,289702.4045201569
3.Capacity_MG_Wind_Hybrid,843.8699418752801,0
4.Investment_Grid,6277455875.069095,21786942705.577843
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,135012670.60010594,79838686.68636848
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,49516536.95771445,3414368.741544099
4.Investment_MG_PV_Hybrid,15319832839.241358,1759399726.4754424
4.Investment_MG_Wind_Hybrid,7496317.212517083,0
