,2030,2060
1.Population_Grid,15404950.04353871,35815031.905325465
1.Population_SA_Diesel,0,0
1.Population_SA_PV,912152.6771165066,1704011.7510527535
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,44885.00141268826,5592.446330862793
1.Population_MG_PV_Hybrid,1522244.2821356696,736028.243101772
1.Population_MG_Wind_Hybrid,3451.7645253828496,0
2.New_Connections_Grid,6683978.240570505,18373262.470304105
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,912152.6771165066,1491804.7037747228
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,44885.00141268826,2960.4879543323023
2.New_Connections_MG_PV_Hybrid,1522244.2821356696,557869.9150508001
2.New_Connections_MG_Wind_Hybrid,3451.7645253828496,0
3.Capacity_Grid,2428554.7744469307,9364081.673740609
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,21099.92404711171,31731.685142239025
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,17317.53427445387,1062.239572702944
3.Capacity_MG_PV_Hybrid,652026.0956854004,275562.6315821407
3.Capacity_MG_Wind_Hybrid,798.2083836509324,0
4.Investment_Grid,6125833815.535649,23664671141.57551
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,137004667.70228365,230069490.00128737
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,49316909.84980456,3978429.242794781
4.Investment_MG_PV_Hybrid,4297702555.119062,1574476260.6787694
4.Investment_MG_Wind_Hybrid,8236680.031222365,0
