,2030,2060
1.Population_Grid,15434484.40180427,35761212.46190132
1.Population_SA_Diesel,0,0
1.Population_SA_PV,905719.122804758,1762295.8992639733
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,44651.58174809222,5484.651278034272
1.Population_MG_PV_Hybrid,1499512.0633987447,731685.6103341664
1.Population_MG_Wind_Hybrid,3451.7645253828496,0
2.New_Connections_Grid,6713512.598836076,18318083.623341706
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,905719.122804758,1543555.6072962529
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,44651.58174809222,2891.409857920956
2.New_Connections_MG_PV_Hybrid,1499512.0633987447,561653.048002419
2.New_Connections_MG_Wind_Hybrid,3451.7645253828496,0
3.Capacity_Grid,2434539.1500988835,9246116.673146272
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,19886.84902797467,28433.889061425845
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,17227.987775031168,1028.3909297214373
3.Capacity_MG_PV_Hybrid,624472.7913903063,274602.93186414207
3.Capacity_MG_Wind_Hybrid,836.3172830728056,0
4.Investment_Grid,6163517738.81041,23370709184.00764
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,131035538.77739674,222542952.5374215
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,48951091.93945409,3855580.1547847353
4.Investment_MG_PV_Hybrid,4128289095.0173435,1571614566.524258
4.Investment_MG_Wind_Hybrid,7423375.150468457,0
