,2030,2060
1.Population_Grid,15413652.710386315,35815172.76196563
1.Population_SA_Diesel,0,0
1.Population_SA_PV,911809.7037008011,1718864.3113999912
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,44966.422848687376,5484.651278034272
1.Population_MG_PV_Hybrid,1513114.4988833503,721153.3448919005
1.Population_MG_Wind_Hybrid,3451.7645253828496,0
2.New_Connections_Grid,6692680.907418116,18370166.7071379
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,911809.7037008011,1506273.8353973157
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,44966.422848687376,2891.409857920956
2.New_Connections_MG_PV_Hybrid,1513114.4988833503,547538.016799942
2.New_Connections_MG_Wind_Hybrid,3451.7645253828496,0
3.Capacity_Grid,2430640.2021924723,9316138.384030767
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,20721.82606098433,30439.058811410996
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,17345.848387680555,1033.6050975148883
3.Capacity_MG_PV_Hybrid,639926.2941486757,269071.10267677
3.Capacity_MG_Wind_Hybrid,837.3399211889163,0
4.Investment_Grid,6148217758.932168,23584601706.97681
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,135012670.60010594,226512221.02956918
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,49263133.226867124,3865134.0512517877
4.Investment_MG_PV_Hybrid,4222616458.0616426,1540097860.9075441
4.Investment_MG_Wind_Hybrid,7430569.811464522,0
