Model,Scenario,Region,Variable,Unit,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2030,2040,2050,2060
MESSAGEix_ZM,MLED_baseline_nexus_y_med,B10|Lusaka,Capacity Additions|Infrastructure|Water,km3/yr,,,,,,,,,,,,,0.0003057678555555556,0.0018083984768888887,0.0025023320643333333,0.0034253868565555564,0.004464308444111112
MESSAGEix_ZM,MLED_baseline_nexus_y_med,B10|Lusaka,Capacity Additions|Infrastructure|Water|Extraction,km3/yr,,,,,,,,,,,0.0,0.0,8.804735999216229e-05,0.00020628523587451345,0.00029731553898292387,0.0004124099662870278,0.0005509881227842512
MESSAGEix_ZM,MLED_baseline_nexus_y_med,B10|Lusaka,Capacity Additions|Infrastructure|Water|Extraction|Groundwater,km3/yr,,,,,,,,,,,0.0,0.0,1.805597289653951e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_baseline_nexus_y_med,B10|Lusaka,Capacity Additions|Infrastructure|Water|Extraction|Groundwater|Fossil,km3/yr,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_baseline_nexus_y_med,B10|Lusaka,Capacity Additions|Infrastructure|Water|Extraction|Groundwater|Renewable,km3/yr,,,,,,,,,,,0.0,0.0,1.805597289653951e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_baseline_nexus_y_med,B10|Lusaka,Capacity Additions|Infrastructure|Water|Extraction|Surface Water,km3/yr,,,,,,,,,,,0.0,0.0,6.999138709562278e-05,0.00020628523587451345,0.00029731553898292387,0.0004124099662870278,0.0005509881227842512
MESSAGEix_ZM,MLED_baseline_nexus_y_med,B10|Lusaka,Capacity Additions|Infrastructure|Water|Industrial,km3/yr,,,,,,,,,,,,,2e-06,0.001049,0.0016150000000000001,0.0024900000000000005,0.003618
MESSAGEix_ZM,MLED_baseline_nexus_y_med,B10|Lusaka,Capacity Additions|Infrastructure|Water|Rural,km3/yr,,,,,,,,,,,,,0.00028881100000000004,0.00012672,0.00021151699999999996,0.00028155380000000004,0.00027969625
MESSAGEix_ZM,MLED_baseline_nexus_y_med,B10|Lusaka,Capacity Additions|Infrastructure|Water|Treatment & Recycling|Rural,km3/yr,,,,,,,,,,,,,6.883000000000001e-06,0.0,7.466999999999999e-06,1.2721800000000002e-05,2.213425e-05
MESSAGEix_ZM,MLED_baseline_nexus_y_med,B10|Lusaka,Capacity Additions|Infrastructure|Water|Treatment & Recycling|Urban,km3/yr,,,,,,,,,,,,,1.5568555555555559e-06,5.599447688888888e-05,5.574606433333337e-05,9.262905655555558e-05,0.00013704219411111112
