model,scenario,region,variable,unit,year,subannual,value
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,1,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,10,7.601852294258595e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,11,4.294200203426287e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,12,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,2,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,3,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,4,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,5,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,6,2.245957902721684e-12
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,7,6.346807078138611e-11
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,8,4.240601296199701e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,9,7.14802797077029e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2020,year,2.3941822051495955e-09
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,1,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,10,7.935327486198059e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,11,4.4731761433385965e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,12,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,2,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,3,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,4,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,5,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,6,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,7,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,8,4.2703025365023007e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,9,7.16777318126187e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2030,year,2.3846579347300826e-09
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2040,1,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2040,10,8.110052848385523e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2040,11,4.5662425073085376e-10
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2040,12,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2040,2,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2040,3,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2040,4,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2040,5,0.0
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2040,6,3.1681315847278616e-12
MESSAGEix_ZM,MLED_baseline_nexus_full,B10|Lusaka,Final Energy|Commercial|Water|Irrigation,EJ/yr,2040,7,8.689862631534968e-11
