model,scenario,region,variable,unit,subannual,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2030,2040,2050,2060
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Rural Eff,,10,,,,,,,,,,,,,3.324000000000001e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Rural Eff,,11,,,,,,,,,,,,,3.324000000000001e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Rural Eff,,12,,,,,,,,,,,,,3.324000000000001e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Rural Eff,,2,,,,,,,,,,,,,3.324000000000001e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Rural Eff,,3,,,,,,,,,,,,,3.324000000000001e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Rural Eff,,4,,,,,,,,,,,,,3.324000000000001e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Rural Eff,,5,,,,,,,,,,,,,3.324000000000001e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Rural Eff,,6,,,,,,,,,,,,,3.324000000000001e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Rural Eff,,7,,,,,,,,,,,,,3.324000000000001e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Rural Eff,,8,,,,,,,,,,,,,3.324000000000001e-05,0.0,0.0,0.0,0.0
