"x"
"acof"
"bana"
"barl"
"bean"
"cass"
"chic"
"cnut"
"coco"
"cott"
"cowp"
"grou"
"lent"
"maiz"
"ocer"
"ofib"
"oilp"
"ooil"
"opul"
"orts"
"pige"
"plnt"
"pmil"
"pota"
"rape"
"rcof"
"rest"
"rice"
"sesa"
"smil"
"sorg"
"soyb"
"sugb"
"sugc"
"sunf"
"swpo"
"teas"
"temf"
"toba"
"trof"
"vege"
"whea"
"yams"
